flow #265: size: 38, rem_Size: 0, arrived: 3441, src\dst:[9,7], FCT: 884
flow #266: size: 62, rem_Size: 0, arrived: 5515, src\dst:[9,8], FCT: 1155
flow #267: size: 1, rem_Size: 0, arrived: 5954, src\dst:[9,9], FCT: 1003
flow #268: size: 7, rem_Size: 0, arrived: 5616, src\dst:[9,10], FCT: 1312
flow #269: size: 96, rem_Size: 0, arrived: 5838, src\dst:[9,12], FCT: 1052
flow #270: size: 11, rem_Size: 0, arrived: 3547, src\dst:[9,15], FCT: 846
flow #271: size: 64, rem_Size: 0, arrived: 5032, src\dst:[10,0], FCT: 1513
flow #272: size: 53, rem_Size: 0, arrived: 5168, src\dst:[10,3], FCT: 1493
flow #273: size: 13, rem_Size: 0, arrived: 4715, src\dst:[10,4], FCT: 2170
flow #274: size: 11, rem_Size: 0, arrived: 3199, src\dst:[10,6], FCT: 1224
flow #275: size: 2, rem_Size: 0, arrived: 4785, src\dst:[10,7], FCT: 2203
flow #276: size: 1, rem_Size: 0, arrived: 3572, src\dst:[10,8], FCT: 3385
flow #277: size: 51, rem_Size: 0, arrived: 3894, src\dst:[10,10], FCT: 2858
flow #278: size: 16, rem_Size: 0, arrived: 3053, src\dst:[10,11], FCT: 3741
flow #279: size: 34, rem_Size: 0, arrived: 4942, src\dst:[10,12], FCT: 1987
flow #280: size: 10, rem_Size: 0, arrived: 4876, src\dst:[10,15], FCT: 2156
flow #281: size: 11, rem_Size: 0, arrived: 5687, src\dst:[11,0], FCT: 1456
flow #282: size: 158, rem_Size: 0, arrived: 3109, src\dst:[11,1], FCT: 3649
flow #283: size: 25, rem_Size: 0, arrived: 5183, src\dst:[11,4], FCT: 1922
flow #284: size: 16, rem_Size: 0, arrived: 5606, src\dst:[11,5], FCT: 1396
flow #285: size: 9, rem_Size: 0, arrived: 4191, src\dst:[11,7], FCT: 2690
flow #286: size: 8, rem_Size: 0, arrived: 4599, src\dst:[11,11], FCT: 2330
flow #287: size: 6, rem_Size: 0, arrived: 4347, src\dst:[11,12], FCT: 2681
flow #288: size: 44, rem_Size: 0, arrived: 4956, src\dst:[11,13], FCT: 1886
flow #289: size: 58, rem_Size: 0, arrived: 5092, src\dst:[11,14], FCT: 1574
flow #290: size: 44, rem_Size: 0, arrived: 3863, src\dst:[12,0], FCT: 3029
flow #291: size: 9, rem_Size: 0, arrived: 4387, src\dst:[12,1], FCT: 49
flow #292: size: 80, rem_Size: 0, arrived: 4709, src\dst:[12,2], FCT: 2474
flow #293: size: 15, rem_Size: 0, arrived: 4845, src\dst:[12,3], FCT: 1948
flow #294: size: 11, rem_Size: 0, arrived: 3144, src\dst:[12,4], FCT: 1375
flow #295: size: 13, rem_Size: 0, arrived: 4443, src\dst:[12,5], FCT: 2396
flow #296: size: 59, rem_Size: 0, arrived: 5742, src\dst:[12,6], FCT: 925
flow #297: size: 103, rem_Size: 0, arrived: 5374, src\dst:[12,11], FCT: 1210
flow #298: size: 7, rem_Size: 0, arrived: 3269, src\dst:[12,13], FCT: 3690
flow #299: size: 8, rem_Size: 0, arrived: 3607, src\dst:[12,14], FCT: 3387
flow #300: size: 12, rem_Size: 0, arrived: 3944, src\dst:[12,15], FCT: 2989
flow #301: size: 15, rem_Size: 0, arrived: 5701, src\dst:[13,3], FCT: 1585
flow #302: size: 166, rem_Size: 0, arrived: 3751, src\dst:[13,5], FCT: 3130
flow #303: size: 83, rem_Size: 0, arrived: 4461, src\dst:[13,6], FCT: 2790
flow #304: size: 16, rem_Size: 0, arrived: 5559, src\dst:[13,7], FCT: 1235
flow #305: size: 12, rem_Size: 0, arrived: 4501, src\dst:[13,12], FCT: 2643
flow #306: size: 106, rem_Size: 0, arrived: 5699, src\dst:[13,13], FCT: 1333
flow #307: size: 18, rem_Size: 0, arrived: 3424, src\dst:[13,14], FCT: 3420
flow #308: size: 14, rem_Size: 0, arrived: 4234, src\dst:[13,15], FCT: 2864
flow #309: size: 12, rem_Size: 0, arrived: 5433, src\dst:[14,0], FCT: 1632
flow #310: size: 17, rem_Size: 0, arrived: 3545, src\dst:[14,1], FCT: 3248
flow #311: size: 31, rem_Size: 0, arrived: 4355, src\dst:[14,2], FCT: 176
