flow #142: size: 94, rem_Size: 0, arrived: 1914, src\dst:[11,14], FCT: 3586
flow #143: size: 7, rem_Size: 0, arrived: 2010, src\dst:[11,15], FCT: 3448
flow #144: size: 6, rem_Size: 0, arrived: 1619, src\dst:[11,18], FCT: 3643
flow #145: size: 81, rem_Size: 0, arrived: 2103, src\dst:[11,20], FCT: 2629
flow #146: size: 15, rem_Size: 0, arrived: 649, src\dst:[11,21], FCT: 4788
flow #147: size: 6, rem_Size: 0, arrived: 1808, src\dst:[11,22], FCT: 3860
flow #148: size: 7, rem_Size: 0, arrived: 2494, src\dst:[11,23], FCT: 3111
flow #149: size: 53, rem_Size: 0, arrived: 567, src\dst:[11,24], FCT: 4487
flow #150: size: 20, rem_Size: 0, arrived: 2587, src\dst:[11,25], FCT: 2443
flow #151: size: 14, rem_Size: 0, arrived: 1948, src\dst:[12,2], FCT: 3358
flow #152: size: 5, rem_Size: 0, arrived: 1238, src\dst:[12,10], FCT: 4241
flow #153: size: 6, rem_Size: 0, arrived: 1622, src\dst:[12,12], FCT: 2533
flow #154: size: 2, rem_Size: 0, arrived: 2781, src\dst:[12,13], FCT: 2437
flow #155: size: 11, rem_Size: 0, arrived: 451, src\dst:[12,14], FCT: 5175
flow #156: size: 50, rem_Size: 0, arrived: 1222, src\dst:[12,15], FCT: 3538
flow #157: size: 7, rem_Size: 0, arrived: 427, src\dst:[12,22], FCT: 5115
flow #158: size: 13, rem_Size: 0, arrived: 2649, src\dst:[12,25], FCT: 2998
flow #159: size: 2, rem_Size: 0, arrived: 2746, src\dst:[12,26], FCT: 2582
flow #160: size: 58, rem_Size: 0, arrived: 1393, src\dst:[12,27], FCT: 4065
flow #161: size: 81, rem_Size: 0, arrived: 1489, src\dst:[12,29], FCT: 3123
flow #162: size: 92, rem_Size: 0, arrived: 1012, src\dst:[12,31], FCT: 4509
flow #163: size: 50, rem_Size: 0, arrived: 334, src\dst:[13,0], FCT: 5166
flow #164: size: 43, rem_Size: 0, arrived: 128, src\dst:[13,4], FCT: 4718
flow #165: size: 27, rem_Size: 0, arrived: 512, src\dst:[13,7], FCT: 5135
flow #166: size: 13, rem_Size: 0, arrived: 1384, src\dst:[13,9], FCT: 4221
flow #167: size: 16, rem_Size: 0, arrived: 2931, src\dst:[13,10], FCT: 1645
flow #168: size: 12, rem_Size: 0, arrived: 701, src\dst:[13,11], FCT: 3460
flow #169: size: 4, rem_Size: 0, arrived: 123, src\dst:[13,12], FCT: 4633
flow #170: size: 28, rem_Size: 0, arrived: 2446, src\dst:[13,14], FCT: 2254
flow #171: size: 20, rem_Size: 0, arrived: 2054, src\dst:[13,18], FCT: 2928
flow #172: size: 22, rem_Size: 0, arrived: 1375, src\dst:[13,19], FCT: 3821
flow #173: size: 14, rem_Size: 0, arrived: 2922, src\dst:[13,23], FCT: 2746
